label,unit
% per volume,percent_per_cubicMeter
%,percent
°C,celsius
°C or K,kelvin
µg/kg,microgram_per_kilogram
µg/m³,microgram_per_cubicMeter
µmoles/m²,micromole_per_squareMeter
1/day,inverseDay
1/S,inverseSecond
1/s,inverseSecond
100 ft,hundredsOfFeet
100*ft,hundredsOfFeet
bool,bool
c,celsius
C,celsius
cm,centimeter
cm/h,centimeter_per_hour
cm/hr,centimeter_per_hour
code,code
dam,decameter
DAM,decameter
days,day
dbz,decibelsOfZ
dbZ,decibelsOfZ
dBZ,decibelsOfZ
deg C,celsius
deg true,degree
deg,degree
DEG,degree
DEG|M,scalar
degC,celsius
degK,kelvin
dobson,dobson
DU,dobson
feet,foot
fraction,fraction
ft,foot
g,gram
g/g,gram_per_gram
g/kg,gram_per_kilogram
g/s,gram_per_second
HEURE,hour
heures,hour
hpa,hectoPascal
hPa,hectoPascal
hPA,hectoPascal
hr,hour
hrs,hour
inconnue,scalar
J kg-1,specificEnergy
J kg⁻¹,specificEnergy
J.M-2,joule_per_squareMeter
J.m⁻²,joule_per_squareMeter
J m⁻²,joule_per_squareMeter
J/kg,specificEnergy
J/KG,specificEnergy
J/m2,joule_per_squareMeter
J/M2,joule_per_squareMeter
J m⁻³ K⁻¹,joule_per_cubicMeter_per_kelvin
J/m³/K,joule_per_cubicMeter_per_kelvin
J/M3/K,joule_per_cubicMeter_per_kelvin
Jkg-1,specificEnergy
Jkg⁻¹,specificEnergy
K m⁻² J⁻¹,kelvin_squareMeter_per_joule
K m-2 J-1,kelvin_squareMeter_per_joule
k,kelvin
K,kelvin
k/day,kelvin_per_day
k/s,kelvin_per_second
K/K,kelvin_per_kelvin
K²,squareKelvin
kg⁻¹,inverseKilogram
kg m⁻² s⁻¹,kilogram_per_squareMeter_per_second
kg m-2 s-1,kilogram_per_squareMeter_per_second
kg.m-2,kilogram_per_squareMeter
kg m⁻²,kilogram_per_squareMeter
kg/(m2*s),percent
kg/g,kilogram_per_gram
kg kg⁻¹,kilogram_per_gram
kg/kg,kilogram_per_kilogram
KG/KG,kilogram_per_kilogram
kg.m⁻²,kilogram_per_squareMeter
kg/m²,kilogram_per_squareMeter
kg/m2,kilogram_per_squareMeter
Kg/m2,kilogram_per_squareMeter
KG/M2,kilogram_per_squareMeter
kg/m²/s,kilogram_per_squareMeter_per_second
kg/m2/s,kilogram_per_squareMeter_per_second
kg m⁻³,massDensity
kg/m³,massDensity
kg/m3,massDensity
KG/M3,massDensity
km,kilometer
km²,squareKilometer
km/h,kilometer_per_hour
knots/noeuds,knot
KPa,kilopascal
kt*h,knotHour
kts,knot
ln(kg/kg),scalar
log(m),meter
m agl,meter
m⁻¹,inverseMeter
m-1,inverseMeter
m⁻²,inverseSquareMeter
m⁻² s⁻¹,inverseSquareMeter_per_second
m-2/s,inverseSquareMeter_per_second
M-2/S,inverseSquareMeter_per_second
m-3,inverseCubicMeter
m,meter
M,meter
m s⁻¹,meter_per_second
m/s,meter_per_second
M/S,meter_per_second
M/S/DAY,meter_per_second_per_day
m/s/day,meter_per_second_per_day
m/s2,meters_per_secondSquared
m^3/m^3,percent
m2.s-2,squareMeter_per_secondSquared
m²,squareMeter
m2,squareMeter
m²/m²,squareMeter
m2/m2,squareMeter_per_squareMeter
m² s⁻¹,squareMeter_per_second
m²/s,squareMeter_per_second
m2/s,squareMeter_per_second
M2/S,squareMeter_per_second
m² s⁻²,squareMeter_per_secondSquared
m².s⁻²,squareMeter_per_secondSquared
m²/s²,squareMeter_per_secondSquared
m²/s2,squareMeter_per_secondSquared
m2/s2,squareMeter_per_secondSquared
M2/S2,squareMeter_per_secondSquared
m²/s³,squareMeter_per_cubicSecond
M2/S3,squareMeter_per_cubicSecond
m³,cubicMeter
m³/kg,cubicMeter_per_kilogram
m³/s,cubicMeter_per_second
m³/m³,cubicMeter_per_cubicMeter
m3/m3,cubicMeter_per_cubicMeter
M3/M3,cubicMeter_per_cubicMeter
mb,millibar
micrograms/kg,microgram_per_kilogram
micrograms/M3,microgram_per_cubicMeter
mm,millimeter
MM,millimeter
mm/day,millimeter_per_day
mm/h,millimeter_per_hour
mm/hr,millimeter_per_hour
mm/mm,millimeter_per_millimeter
N m⁻¹,surfaceTension
N/m,surfaceTension
nil,scalar
NIL,scalar
no units,scalar
noeuds,knot
Pa s,pascalSecond
Pa,pascal
PA,pascal
PA*S,pascalSecond
Pa*s,pascalSecond
Pa/s,pascal_per_second
pa/s,pascal_per_second
pieds,foot
PIEDS,foot
ppb,parts_per_billion
PPB,parts_per_billion
psu,psu
rad/s,angularVelocity
s m-1,second_per_meter
s⁻¹,inverseSecond
s-1,inverseSecond
S-1,inverseSecond
s⁻²,inverseSquareSecond
s-2,inverseSquareSecond
s,second
s m⁻¹,second_per_meter
s/m,second_per_meter
scalar,scalar
sec,second
ug/g,microgram_per_gram
ug/kg,microgram_per_kilogram
ug/m3,microgram_per_cubicMeter
w.m⁻².K⁻¹,watt_per_squareMeterKelvin
w.m-2.k-1,watt_per_squareMeterKelvin
W m⁻²,watt_per_squareMeter
w/m2,watt_per_squareMeter
W/m²,watt_per_squareMeter
W/m2,watt_per_squareMeter
W/M2,watt_per_squareMeter
mW m-2,milliwatt_per_squareMeter
W m⁻¹ K⁻¹,thermalConductivity
