ip1_kind,toctoc,P0,E1,PT,HY,SF,vcode,vctype
5,True,True,False,False,False,False,5002,HYBRID_STAGGERED
5,True,True,False,False,False,False,5001,HYBRID
5,True,True,False,False,False,False,5005,HYBRID_5005
2,True,True,False,False,False,False,5005,HYBRID_5005
2,True,False,False,False,False,False,5005,HYBRID_5005
5,True,False,False,False,False,False,5005,HYBRID_5005
4,True,False,False,False,False,False,5005,HYBRID_5005
4,True,True,False,False,False,False,5005,HYBRID_5005
5,True,True,False,False,False,True,-1,OLD_HYBRID_STAGGERED
5,False,True,False,False,False,False,-1,HYBRID
4,False,False,False,False,False,False,-1,METER_GROUND_LEVEL
2,True,True,False,False,False,False,2001,PRESSURE
2,False,False,False,False,False,False,-1,PRESSURE
1,True,True,False,False,False,False,1002,ETA
1,True,True,False,False,False,False,1001,SIGMA
1,False,True,False,True,False,False,-1,ETA
1,False,True,False,False,False,False,-1,SIGMA
1,False,True,True,True,False,False,-1,ETA_SEF
1,False,True,False,False,True,False,-1,HYBRID_NORMALIZED
7,False,False,False,False,False,False,-1,PRESSURE
0,False,False,False,False,False,False,-1,METER_SEA_LEVEL
